Final_name,MRP,Price,Rating,ImageURL,Buying_Links
Samsung Galaxy M13 ,9199,14999,4.1,https://m.media-amazon.com/images/I/81-fFXQdPTL._AC_UY218_.jpg,https://www.amazon.in//Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS
iQOO Z7 Pro 5G ,24999,27999,4.3,https://m.media-amazon.com/images/I/6196XqJjUZL._AC_UY218_.jpg,https://www.amazon.in//iQOO-Graphite-MediaTek-Processor-Smartphone/dp/B07WFPLDPR
Samsung Galaxy M04 Dark Blue,6499,11999,3.9,https://m.media-amazon.com/images/I/81t6Av5DvXL._AC_UY218_.jpg,https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGB3CH9
realme narzo 60 Pro ,21249,26999,4.1,https://m.media-amazon.com/images/I/81ZV6G2iRrL._AC_UY218_.jpg,https://www.amazon.in//realme-Cosmic-Smooth-Amoled-Display/dp/B0C7895BJ9
Redmi A2 ,6199,9999,3.8,https://m.media-amazon.com/images/I/810-BAwpF9L._AC_UY218_.jpg,https://www.amazon.in//Redmi-Classic-Black-64GB-Storage/dp/B0C74KRMHW
Realme GT Neo 3 ,25899,41999,4.2,https://m.media-amazon.com/images/I/71JPbL+lnXL._AC_UY218_.jpg,https://www.amazon.in//Realme-Sprint-White-256GB-Storage/dp/B09ZHWW75Y
Samsung Galaxy M04 Light Green,7499,13499,3.9,https://m.media-amazon.com/images/I/814ePfNubRL._AC_UY218_.jpg,https://www.amazon.in//Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGC6LHP
realme narzo N53 ,7999,10999,3.9,https://m.media-amazon.com/images/I/71DSxfKzkJL._AC_UY218_.jpg,https://www.amazon.in//realme-Feather-Segment-Charging-Slimmest/dp/B0C45VWDWJ
Samsung Galaxy S23 5G ,79999,95999,4.5,https://m.media-amazon.com/images/I/61OvxXhQgZL._AC_UY218_.jpg,https://www.amazon.in//Samsung-Galaxy-Phantom-Black-Storage/dp/B0BT9FZZKP
Redmi A2 ,6199,9999,3.8,https://m.media-amazon.com/images/I/81RR0TAz+5L._AC_UY218_.jpg,https://www.amazon.in//Redmi-Aqua-Blue-64GB-Storage/dp/B0C74LZSQB
realme narzo 60 5G ,18499,20999,4.1,https://m.media-amazon.com/images/I/71r5svsNKyL._AC_UY218_.jpg,https://www.amazon.in//realme-Cosmic-Display-SUPERVOOC-Charger/dp/B0C78B7KQH
OnePlus Nord CE 3 Lite 5G ,19999,,4.1,https://m.media-amazon.com/images/I/61LB+d0vheL._AC_UY218_.jpg,https://www.amazon.in//OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S
Vivo Y02t ,8999,15999,4,https://m.media-amazon.com/images/I/51Kc8y7X+3L._AC_UY218_.jpg,https://www.amazon.in//Vivo-Sunset-Storage-Additional-Exchange/dp/B07WFPLX4V
OnePlus Nord CE 3 5G ,28999,,4,https://m.media-amazon.com/images/I/61abLrCfF7L._AC_UY218_.jpg,https://www.amazon.in//OnePlus-Nord-Shimmer-256GB-Storage/dp/B0C9QPBZD9
Xiaomi Redmi 10 Power ,10999,18999,4.1,https://m.media-amazon.com/images/I/71BiCb7N5YL._AC_UY218_.jpg,https://www.amazon.in//Redmi-Power-Black-128GB-Storage/dp/B09Y64H8VS
Samsung Galaxy M13 ,9199,14999,4.1,https://m.media-amazon.com/images/I/812YsUxpyfL._AC_UY218_.jpg,https://www.amazon.in//Samsung-Midnight-Storage-6000mAh-Battery/dp/B0B4F52B5X
